trefwoord	homon	bettr	thema	subthema1	POS	hulpthema	jaarrek	bronboek	status	geleend_uit	leenvorm	opmerking	bron
burlesk		boertig	17. letterkunde	proza	bijvoeglijk naamwoord		1782	WNT	leen	Frans			CW 2001
burn-out		oververmoeidheid door stress	19. wetenschap	kwalen	zelfstandig naamwoord		1994	De Coster 1999	leen	Engels			CW 2001
bus	1	doos, blik	6. consumptie	gerei	zelfstandig naamwoord		1240	VMNW	leen	Latijn			CW 2001
bus	2	vervoermiddel	10. voortbewegen	transportmiddel	zelfstandig naamwoord		1887	WNT	leen	Engels			CW 2001
bush		rimboe	1. aardrijk	landschap	zelfstandig naamwoord		1912	KKU	leen	Engels			CW 2001
bush_x001E_-bush					zelfstandig naamwoord				leen	Engels	bush		Leenwoordenboek 2005
bushel		maat voor droge waren			zelfstandig naamwoord		1847		leen	Engels			EWB2
business		zaken	12. handel		zelfstandig naamwoord		1912	KKU	leen	Engels			CW 2001
business as usual					anders				leen	Engels	business as usual		Leenwoordenboek 2005
business class					zelfstandig naamwoord				leen	Engels	business class		Leenwoordenboek 2005
buste	a	borstbeeld; boezem	16. kunst	beeldende kunst	zelfstandig naamwoord		1778	WNT	leen	Frans			CW 2001
bustehouder		steun voor de boezem	9. sociale leven	kleding	zelfstandig naamwoord		1902	WNT rekbaar	leen	Duits			CW 2001
busticket					zelfstandig naamwoord				leen	Engels			K. Franco e.a. (2018), 'Let’s Agree to Disagree. (Variation in) the Assignment of Gender to Nominal Anglicisms in Dutch', in: Journal of Germanic Linguistics 30.1
bustier		kledingstuk dat armen en schouders onbedekt laat			zelfstandig naamwoord		1992		leen	Frans			EWB2
bustière		bustehouder			zelfstandig naamwoord				pseudo-ontlening	pseudo-Frans	Frans bustier		Leenwoordenboek 2005
butch					zelfstandig naamwoord				leen	Engels	butch		Leenwoordenboek 2005
butea		plantengeslacht			zelfstandig naamwoord		1898		leen	Latijn			EWB2
butler		huisknecht	13. werk+industrie	beroepen	zelfstandig naamwoord	persoonsaanduiding	1912	KKU	leen	Engels			CW 2001
butoor		roerdomp			zelfstandig naamwoord		1287		leen	Frans			EWB2
buts		deuk	1. aardrijk		zelfstandig naamwoord		1470	MNW	leen	Frans			CW 2001
butterfly		vlinderdasje			zelfstandig naamwoord		1950		leen	Engels			EWB2
button		speldje met afbeelding of tekst	9. sociale leven	sieraden	zelfstandig naamwoord		1969	R75	leen	Engels			CW 2001
buut		mikpunt	22. sport+spel	kinderspel	zelfstandig naamwoord		1847	KKU	leen	Frans			CW 2001
buvard		vloeiblad			zelfstandig naamwoord		1912		leen	Frans			EWB2
buy-out		overname van alle aandelen van een vennootschap	12. handel	beurs	zelfstandig naamwoord		1989	Peptalk	leen	Engels			CW 2001
buzzer	a	zoemer	21. communicatie	mondeling	zelfstandig naamwoord		1976	GVD	leen	Engels			CW 2001
by the way					tussenwerpsel				leen	Engels	by the way		Leenwoordenboek 2005
bye	1	tussenwerpsel: afscheidsgroet	20. taalkunde		tussenwerpsel		1984	GVD	leen	Engels			CW 2001
bypass		omleiding	19. wetenschap	medisch	zelfstandig naamwoord		1968	KWT	leen	Engels			CW 2001
byssus		fijn linnen			zelfstandig naamwoord		1824		leen	Latijn			EWB2
byte		groep van acht bits	21. communicatie	ICT	zelfstandig naamwoord		1969	Dijkman, Computer-ABC 74	leen	Engels			CW 2001
Byzantijns		van Byzantium	KUN	ABS	bijvoeglijk naamwoord		1879		leen	Latijn			EWB2
c.e.o.					zelfstandig naamwoord				leen	Engels	c.e.o. = chief executive officer		Leenwoordenboek 2005
c.i.f.		kosten verzending voor rekening afzender			anders		1893		leen	Engels			EWB2
c.o.d.		betaling bij levering			anders		1950		leen	Engels			EWB2
c.q.					anders				leen	Latijn	c.q. = casu quo		Leenwoordenboek 2005
c.s.					anders				leen	Latijn	c.s. = cum suis		Leenwoordenboek 2005
c.v.					zelfstandig naamwoord				leen	Latijn	c.v. = curriculum vitae		Leenwoordenboek 2005
cab		huurrijtuig	10. voortbewegen	transportmiddel	zelfstandig naamwoord		1912	KKU	leen	Engels			CW 2001
